Affaire - Organisation,Affaire - ID,Affaire - Propriétaire,Affaire - Titre,Personne - 🚨 Source du lead (Obligatoire),Affaire - Affaire créée,Affaire - Valeur,Affaire - Heure de l'échec,Affaire - Date de conclusion,Affaire - Raison de la perte,Affaire - Statut,Affaire - 💼 Client ?,Organisation - ID,Organisation - Propriétaire,Organisation - Étiquette,Affaire - Fin de contrat
Genie Lieux-Conseil Management Espace,2209,Ahmed NAFAI,Affaire Genie Lieux-Conseil Management Espace,Market (Call SDR),2022-09-19 17:43:06,7500,2022-09-28 09:58:12,0,Prix,Perdue,❌ Deal perdu,133766,Ahmed NAFAI,Sales,0
Gensun,2210,Ahmed NAFAI,Affaire Gensun,Market (Call SDR),2022-09-19 18:01:28,5000,2022-10-24 11:57:52,0,Choix de rester avec fournisseur actuel,Perdue,❌ Deal perdu,129374,Ahmed NAFAI,NURTURING,0
Ggl Groupe,2225,Jordan Camelo,Affaire Ggl Groupe,Réseau Perso,2022-09-28 14:35:22,5000,2022-11-28 15:37:17,0,Choix Président,Perdue,❌ Deal perdu,88383,Julien Ribeiro,Sales,0
Gie Afer,2200,Jordan Camelo,Affaire Gie Afer,Event,2022-09-08 16:06:50,3000,0,0,0,En cours,🟡 En cours,133820,Jordan Camelo,Sales,0
Gie Kantys Services,2398,Julien Ribeiro,Affaire Gie Kantys Services,Market (Formulaire),2023-03-01 16:28:22,4000,2023-04-13 15:58:52,0,Outil - Fonctionnalité manquante,Perdue,🟡 En cours,139593,Julien Ribeiro,Sales,0
Ginini,2239,Ahmed NAFAI,Affaire Ginini,Market (Formulaire),2022-10-07 16:19:46,2000,2023-01-05 08:59:34,0,Sujet non prioritaire,Perdue,❌ Deal perdu,135628,Julien Ribeiro,Sales,0
Gonefine,2399,Thibault,Affaire Gonefine,Market (Formulaire),2023-03-01 17:00:58,30000,2023-03-21 10:16:50,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,139596,Thibault,0,0
Green Power Technologie,2246,Julien Ribeiro,Affaire Green Power Technologie,Market (Formulaire),2022-10-14 10:20:59,8400,0,0,0,En cours,🟡 En cours,135508,Julien Ribeiro,Sales,0
Grieps,2386,Thibault,Affaire Grieps,Chasse (Sales),2023-02-15 18:43:00,25000,2023-04-24 17:42:28,0,Business Model - Transaction Fee,Perdue,🟡 En cours,120945,Thibault,Sales,0
Groupe Aera Nova,2185,Jordan Camelo,Affaire Groupe Aera Nova,Market (Formulaire),2022-08-19 16:51:25,8500,2022-11-09 10:31:22,0,Prix,Perdue,❌ Deal perdu,135033,Julien Ribeiro,STOP,0
Groupe Audemard,2169,Jordan Camelo,Affaire Groupe Audemard,Market (Publi),2022-07-07 11:43:19,83000,2022-11-14 15:29:26,0,Prix,Perdue,❌ Deal perdu,133969,Jordan Camelo,Sales,0
Groupe Blanchard,2211,Ahmed NAFAI,Affaire Groupe Blanchard,0,2022-09-19 18:31:25,10000,2022-11-14 09:53:54,0,Concurrent retenu (préciser lequel),Perdue,❌ Deal perdu,135516,Ahmed NAFAI,Sales,0
Groupe Lemoine,2241,Ahmed NAFAI,Affaire Groupe Lemoine,Market (Linkedin),2022-10-10 10:11:19,30000,2023-01-25 12:42:03,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,135629,Alisée Delon,SDR,0
Groupe Lhotellier,2158,Jordan Camelo,Affaire Groupe Lhotellier,Event,2022-06-13 17:11:07,8500,2022-11-08 11:37:44,0,Plus de réponse du prospect,Perdue,❌ Deal perdu,115873,Julien Ribeiro,NURTURING,0
